Kata,Sentiment
ikn,Negatif
mending,Negatif
transportasi,Negatif
kabupaten,Negatif
layak,Negatif
ikn,Negatif
mending,Negatif
bikin,Negatif
puskesmas,Negatif
ramah,Negatif
pasien,Negatif
ain,Negatif
dokter,Negatif
kompeten,Negatif
urgensi,Negatif
bangun,Negatif
ikn,Negatif
hambur,Negatif
hambur,Negatif
uang,Negatif
jabat,Negatif
kasih,Negatif
doktrin,Negatif
ikn,Negatif
perata,Negatif
bangun,Negatif
engga,Negatif
bukti,Negatif
fasilitas,Negatif
publik,Negatif
duluan,Negatif
rumah,Negatif
menteri,Negatif
bangun,Negatif
ibukota,Negatif
eco,Negatif
babat,Negatif
hutan,Negatif
bangun,Negatif
ikn,Negatif
mending,Negatif
duit,Negatif
dipake,Negatif
perata,Negatif
kotakota,Negatif
ibukota,Negatif
kota,Negatif
butuh,Negatif
modal,Negatif
banget,Negatif
ujungujungnya,Negatif
proyek,Negatif
dibangunin,Negatif
tinggalin,Negatif
banget,Negatif
buru,Negatif
buru,Negatif
bangun,Negatif
ikn,Negatif
output,Negatif
pengerjaaan,Negatif
terburuburu,Negatif
mangkrak,Negatif
project,Negatif
doain,Negatif
ikn,Negatif
tel,Negatif
biaya,Negatif
fantastis,Negatif
gitu,Negatif
urgent,Negatif
pindah,Negatif
kota,Negatif
kota,Negatif
bangun,Negatif
banget,Negatif
sayang,Negatif
duit,Negatif
mending,Negatif
dipake,Negatif
jabat,Negatif
mau,Negatif
dapet,Negatif
fasilitas,Negatif
mewah,Negatif
ikn,Netral
program,Netral
telan,Netral
biaya,Netral
fantatis,Netral
riset,Netral
matang,Netral
bangun,Netral
urgensi,Netral
ikn,Netral
untung,Netral
orang,Netral
jatah,Netral
tetap,Netral
sana,Netral
fasilitas,Netral
mewah,Netral
vidio,Netral
edar,Netral
ikn,Netral
bangun,Netral
wilayah,Netral
ikn,Negatif
kaya,Negatif
ya,Negatif
maksain,Negatif
rusak,Negatif
alam,Negatif
ladang,Negatif
korupsi,Negatif
ikn,Negatif
usaha,Negatif
setir,Negatif
negara,Negatif
perintah,Negatif
benerin,Negatif
sdm,Negatif
gaji,Negatif
sampe,Negatif
layak,Negatif
contoh,Negatif
guru,Negatif
urgent,Negatif
urgensi,Negatif
rendah,Negatif
handal,Negatif
efektif,Negatif
perata,Negatif
pindah,Negatif
ibukota,Negatif
pilih,Negatif
kota,Negatif
enggak,Negatif
biar,Negatif
dana,Negatif
ngembangin,Negatif
daerah,Negatif
jujur,Negatif
capek,Negatif
bahas,Negatif
ikn,Negatif
milu,Negatif
opini,Negatif
ikn,Negatif
boros,Negatif
bodoh,Negatif
boros,Negatif
nikmatin,Negatif
elit,Negatif
bukti,Negatif
mukim,Negatif
warga,Negatif
kasih,Negatif
jarak,Negatif
ikn,Negatif
bodoh,Negatif
rakyat,Negatif
diimingin,Negatif
janji,Negatif
manis,Negatif
biar,Negatif
milih,Negatif
didik,Negatif
gratis,Negatif
biar,Netral
detail,Netral
kondisi,Negatif
masyarakat,Negatif
kurang,Negatif
didik,Negatif
rendah,Negatif
mahal,Negatif
bikin,Negatif
ikn,Negatif
rumah,Negatif
menteri,Negatif
harga,Negatif
monumen,Negatif
ikn,Negatif
benar,Negatif
proyek,Negatif
mubazir,Negatif
bukti,Negatif
kedzholiman,Negatif
perintah,Negatif
sekian,Negatif
persen,Negatif
dana,Negatif
ikn,Negatif
jalur,Negatif
kereta,Negatif
api,Negatif
kalimantan,Negatif
pontianak,Negatif
balikpapan,Negatif
jalan,Negatif
tol,Negatif
kalimantan,Negatif
jalan,Negatif
putus,Negatif
urgent,Negatif
ngeluarin,Negatif
biaya,Negatif
besar,Negatif
banget,Negatif
turut,Negatif
jakarta,Negatif
selesai,Negatif
rusak,Negatif
alam,Negatif
lahan,Negatif
korupsi,Negatif
turut,Negatif
pulau,Negatif
jawa,Negatif
pulau,Negatif
migrasi,Negatif
pusat,Negatif
ekonomi,Negatif
pabrikperusahaan,Negatif
mahasiswa,Netral
bikin,Netral
kota,Netral
ya,Netral
pindah,Netral
jakarta,Netral
dki,Netral
banjarmasin,Netral
dki,Netral
balikpapan,Netral
gitu,Netral
lohh,Netral
kembangin,Netral
kota,Netral
bikin,Netral
kota,Netral
anggar,Netral
besar,Netral
battt,Netral
mubazir,Negatif
proyek,Negatif
urgent,Negatif
kesan,Negatif
perata,Negatif
daerah,Negatif
tinggal,Negatif
jabat,Negatif
mewah,Negatif
lingkung,Negatif
rusak,Negatif
masalah,Negatif
sebenernya,Negatif
atas,Negatif
pakai,Negatif
anggar,Negatif
ikn,Negatif
kek,Negatif
dividioin,Negatif
tukang,Negatif
seluk,Negatif
beluk,Negatif
rumah,Negatif
menteri,Negatif
mewah,Negatif
banget,Negatif
gila,Negatif
milyar,Negatif
manfaat,Negatif
masyarakat,Negatif
papua,Negatif
orang,Negatif
miskin,Negatif
bangun,Negatif
didik,Negatif
gambar,Negatif
ikn,Negatif
mubazir,Negatif
lucu,Negatif
duit,Negatif
sbnyk,Negatif
proyek,Negatif
nguntungin,Negatif
kuasa,Negatif
asli,Negatif
usir,Negatif
rumah,Negatif
perata,Negatif
wilayah,Negatif
kaya,Negatif
perata,Negatif
infrastruktur,Negatif
biar,Negatif
bagus,Negatif
wilayah,Negatif
wilayah,Negatif
tinggal,Negatif
zalim,Negatif
jujur,Negatif
benci,Negatif
banget,Negatif
bangun,Negatif
ikn,Negatif
balikpapan,Negatif
jawa,Negatif
gila,Negatif
macet,Negatif
antri,Negatif
bbm,Negatif
kilo,Negatif
air,Negatif
mati,Negatif
kualitas,Negatif
jelek,Negatif
banget,Negatif
asli,Negatif
ni,Negatif
ikn,Negatif
bom,Negatif
buang,Negatif
anggar,Negatif
butuh,Negatif
dar,Negatif
kota,Negatif
perata,Negatif
ekonomi,Negatif
ekonomi,Negatif
rata,Negatif
orang,Negatif
orang,Negatif
bela,Negatif
bain,Negatif
kerja,Negatif
pulau,Negatif
jakarta,Negatif
padat,Negatif
ikn,Negatif
bangun,Negatif
sejahtera,Negatif
rakyat,Negatif
sana,Negatif
bukti,Negatif
keluh,Negatif
air,Negatif
sungai,Negatif
cemar,Negatif
grgr,Negatif
tambang,Negatif
buat,Negatif
ikn,Negatif
hewan,Negatif
lata,Negatif
kaya,Negatif
buaya,Negatif
muncul,Negatif
muka,Negatif
ganggu,Negatif
nangkap,Negatif
ikam,Negatif
butuh,Negatif
hari,Negatif
jabat,Negatif
manja,Negatif
bangeet,Negatif
fasilitas,Negatif
coba,Negatif
uang,Negatif
beasiswa,Negatif
kuliah,Negatif
domplang,Negatif
iq,Negatif
orang,Negatif
indonesia,Negatif
banding,Negatif
bangun,Negatif
ikn,Negatif
dana,Negatif
mending,Negatif
oper,Negatif
perata,Negatif
transportasi,Negatif
fasilitas,Negatif
publik,Negatif
daerah,Negatif
maaf,Negatif
maju,Negatif
rumah,Negatif
sakit,Negatif
nempuh,Negatif
berjamjam,Negatif
ikn,Negatif
kawasan,Negatif
elit,Negatif
perintah,Negatif
mubazir,Negatif
ibukota,Negatif
desak,Negatif
dana,Negatif
alih,Negatif
prioritas,Negatif
didik,Negatif
subsidi,Negatif
ukt,Negatif
bangun,Negatif
sekolah,Negatif
gaji,Negatif
guru,Negatif
sehat,Negatif
stunting,Negatif
tingkat,Negatif
gaji,Negatif
nakes,Negatif
transportasi,Negatif
kereta,Negatif
prov,Negatif
kalimantan,Negatif
fasilitas,Positif
didik,Positif
sehat,Positif
ada,Positif
uda,Positif
stable,Positif
deh,Positif
mikir,Positif
boro,Positif
boro,Positif
didik,Positif
sehat,Positif
daerah,Positif
air,Positif
bersih,Positif
mas,Positif
ko,Positif
bisa,Positif
buang,Positif
duit,Positif
segitu,Positif
msi,Positif
lebi,Positif
urgent,Positif
imo,Netral
sesuai,Netral
gagas,Netral
bikin,Netral
rata,Netral
kota,Netral
kota,Netral
kayak,Netral
jkt,Netral
kota,Netral
masyarakat,Netral
sebar,Netral
rantau,Netral
lintas,Netral
pulau,Netral
komen,Netral
ranah,Netral
paham,Netral
banget,Netral
bangun,Netral
ikn,Netral
pengaruh,Netral
turun,Netral
biodiversity,Netral
kalimantan,Netral
hutan,Netral
habitat,Netral
flora,Netral
fauna,Netral
endemik,Netral
ya,Netral
bangun,Netral
manusia,Netral
maju,Netral
urgensi,Negatif
prioritas,Negatif
dana,Negatif
salah,Negatif
contoh,Negatif
perata,Negatif
fasilitas,Negatif
sehat,Negatif
liat,Negatif
ikn,Negatif
kaya,Negatif
nafsu,Negatif
orang,Negatif
orang,Negatif
serius,Netral
nggak,Netral
ngerti,Netral
ikn,Netral
bikin,Netral
kota,Netral
ngebabat,Netral
hutan,Netral
orangorang,Netral
suruh,Netral
pindah,Netral
efektif,Netral
efisien,Netral
ngembangin,Netral
kota,Netral
potensi,Netral
kayak,Netral
balikpapan,Netral
pontianak,Netral
kalimantan,Netral
sebenernya,Negatif
teknik,Negatif
banget,Negatif
pro,Negatif
ikn,Negatif
ya,Negatif
harap,Negatif
bagi,Negatif
proyek,Negatif
ya,Negatif
know,Negatif
bikin,Negatif
ikn,Negatif
pake,Negatif
arsitek,Negatif
risih,Negatif
sebenernya,Negatif
doa,Negatif
jelek,Negatif
ikn,Negatif
ikn,Negatif
sebenernya,Negatif
kerabat,Negatif
dapet,Negatif
kerja,Negatif
bikin,Negatif
kota,Negatif
buka,Negatif
hutang,Negatif
ibukotanya,Negatif
isi,Negatif
penting,Negatif
jabat,Negatif
meanwhile,Negatif
krisis,Negatif
harga,Negatif
gitu,Negatif
jabat,Negatif
flexing,Negatif
unboxing,Negatif
rumah,Negatif
baru,Negatif
ikn,Negatif
waras,Negatif
salah,Negatif
sesuai,Negatif
porsi,Negatif
emang,Negatif
sayang,Negatif
nelantarin,Negatif
bangun,Negatif
salah,Negatif
henti,Negatif
biaya,Negatif
kesana,Negatif
nikmatin,Negatif
cuman,Negatif
sekian,Negatif
persen,Negatif
orang,Negatif
indonesia,Negatif
mas,Negatif
susah,Negatif
buang,Negatif
buang,Negatif
perata,Negatif
ass,Negatif
la,Negatif
bandara,Negatif
bandara,Negatif
lokal,Negatif
internasional,Negatif
bangun,Negatif
ibukota,Negatif
kalo,Negatif
ibukota,Negatif
bangun,Negatif
transportasi,Negatif
publik,Negatif
rumah,Negatif
menteri,Negatif
dipake,Negatif
proyek,Negatif
urgensi,Negatif
potensi,Negatif
korupsi,Negatif
biaya,Negatif
keluar,Negatif
lampau,Negatif
kota,Negatif
perintah,Negatif
huni,Negatif
pasti,Negatif
pindah,Negatif
kesana,Negatif
rusa,Negatif
lingkung,Negatif
dampak,Negatif
c,Negatif
boros,Negatif
pindah,Negatif
kota,Negatif
fasilitas,Negatif
pada,Negatif
ego,Negatif
perintah,Negatif
dana,Negatif
pakai,Negatif
yaa,Negatif
lahan,Negatif
korupsi,Negatif
laluu,Negatif
hutan,Negatif
kalimantan,Negatif
gerus,Negatif
simbol,Negatif
perata,Negatif
mubazir,Negatif
make,Negatif
sense,Negatif
better,Negatif
goalsnya,Negatif
perata,Negatif
benerbener,Negatif
bangun,Negatif
minimal,Negatif
kota,Negatif
provinsi,Negatif
contoh,Negatif
kota,Negatif
komoditas,Negatif
andal,Negatif
sektor,Negatif
utama,Negatif
kembang,Negatif
transportasi,Negatif
keinget,Negatif
bumil,Negatif
dinas,Negatif
suami,Negatif
kerja,Negatif
kebun,Negatif
sawit,Negatif
pulau,Negatif
ikn,Negatif
ironis,Negatif
fasilitas,Negatif
sehat,Negatif
pada,Negatif
mas,Negatif
sebar,Negatif
rata,Negatif
akses,Negatif
susah,Negatif
maaf,Negatif
say,Negatif
lahan,Negatif
basah,Negatif
korupsi,Negatif
ekspos,Negatif
kota,Negatif
gampang,Negatif
sesat,Negatif
set,Negatif
gitu,Negatif
better,Negatif
maju,Negatif
didik,Negatif
bobrok,Negatif
ikn,Netral
bangun,Netral
amdal,Netral
nerabas,Netral
hukum,Netral
penting,Netral
kuasa,Netral
bilang,Netral
butuh,Netral
banget,Netral
bener,Netral
pengaruh,Netral
sejahtera,Netral
rakyat,Netral
mayoritas,Netral
nyuapin,Netral
korupsi,Netral
dana,Netral
jujur,Negatif
dukung,Negatif
pikir,Negatif
oh,Negatif
jakarta,Negatif
sek,Negatif
mikirnya,Negatif
ikn,Negatif
kerja,Negatif
perintah,Negatif
gitu,Negatif
luh,Negatif
ngapain,Negatif
ngundang,Negatif
warga,Negatif
asing,Negatif
ikn,Negatif
habis,Negatif
duit,Negatif
miliar,Negatif
rumah,Negatif
turut,Negatif
ikn,Negatif
penting,Negatif
makan,Negatif
anggar,Negatif
gtu,Negatif
sektor,Negatif
hajat,Negatif
orang,Negatif
diprioritasin,Negatif
kayak,Negatif
didik,Negatif
sehat,Negatif
stop,Negatif
prioritas,Negatif
perintah,Negatif
urgensi,Negatif
minim,Negatif
banding,Negatif
anggar,Negatif
bengkak,Negatif
rencana,Negatif
bangun,Negatif
bener,Negatif
negara,Negatif
stabil,Negatif
isu,Negatif
main,Negatif
sambung,Negatif
ikn,Negatif
feasibility,Negatif
banyak,Negatif
investor,Negatif
potensial,Negatif
mundur,Negatif
bayangin,Negatif
uang,Negatif
ikn,Negatif
dibagibagiin,Negatif
daerah,Negatif
perata,Negatif
bangun,Negatif
uang,Negatif
korupsi,Negatif
kepala,Negatif
daerah,Negatif
maju,Negatif
coba,Negatif
indonesia,Negatif
segi,Negatif
didik,Negatif
sehat,Negatif
infrastruktur,Negatif
ekonomi,Negatif
maju,Negatif
banget,Negatif
urgensi,Negatif
dijadiin,Negatif
pr,Negatif
iming,Negatif
perata,Negatif
biar,Negatif
javacentric,Negatif
simbolis,Negatif
daerah,Negatif
kurang,Negatif
air,Negatif
bersih,Negatif
rusak,Negatif
lingkung,Negatif
ladang,Negatif
korupsi,Negatif
akal,Negatif
akal,Negatif
jabat,Negatif
dana,Negatif
gede,Negatif
mending,Negatif
benerin,Negatif
layan,Negatif
publik,Negatif
banget,Negatif
ngefasilitasin,Negatif
mewah,Negatif
kerja,Negatif
bagus,Negatif
rusak,Negatif
lingkung,Negatif
bangun,Negatif
kasih,Negatif
makan,Negatif
ego,Negatif
gengsi,Negatif
sisi,Negatif
negatif,Negatif
sbenernya,Negatif
buru,Negatif
banget,Negatif
bikin,Negatif
urgent,Negatif
uu,Negatif
buru,Negatif
sah,Negatif
dilaksanain,Negatif
ya,Negatif
yaudah,Negatif
dilakuin,Negatif
diselesaiin,Negatif
biar,Negatif
proyek,Negatif
mangkrak,Negatif
serba,Negatif
salah,Negatif
asli,Negatif
tweet,Negatif
setuju,Negatif
banget,Negatif
bikin,Negatif
rumah,Negatif
mewah,Negatif
jabat,Negatif
alihalih,Negatif
ngebagusin,Negatif
transportasi,Negatif
fasilitas,Negatif
sana,Negatif
jabat,Negatif
emang,Negatif
jatah,Negatif
bener,Negatif
rugi,Negatif
perata,Netral
bangun,Netral
dianaktirikan,Netral
bangun,Netral
kota,Netral
tara,Netral
jkt,Netral
masuk,Netral
akal,Netral
wilayah,Netral
ikn,Netral
butuh,Netral
bentuk,Netral
adab,Netral
serba,Netral
deket,Netral
apaapa,Netral
kota,Netral
ikn,Netral
huni,Netral
ikn,Netral
milih,Netral
jkt,Netral
prioritas,Negatif
sii,Negatif
didik,Negatif
sehat,Negatif
transportasi,Negatif
publik,Negatif
indonesia,Negatif
rata,Negatif
mending,Negatif
dana,Negatif
manfaat,Negatif
rencana,Negatif
ibukota,Negatif
pindah,Negatif
gajadi,Negatif
tinggal,Negatif
disesuaiin,Negatif
kondisi,Negatif
nggak,Negatif
seurgent,Negatif
urgent,Negatif
ladang,Negatif
korupsi,Negatif
lingkung,Negatif
rusak,Negatif
imo,Negatif
perata,Negatif
pendudum,Negatif
ya,Negatif
nggak,Negatif
kalikkkk,Negatif
ikn,Negatif
bener,Negatif
butuh,Negatif
dana,Negatif
kota,Negatif
jabat,Negatif
kasih,Negatif
huni,Negatif
mewah,Negatif
harga,Negatif
mending,Negatif
dipake,Negatif
perata,Negatif
dikotakota,Negatif
renovasi,Negatif
infrastruktur,Negatif
pada,Negatif
real,Netral
ibukota,Netral
untuk,Netral
orang,Netral
kaya,Netral
urgensi,Negatif
proyek,Negatif
dana,Negatif
potensi,Negatif
korupsi,Negatif
dana,Negatif
alih,Negatif
bangun,Negatif
sekolah,Negatif
faskes,Negatif
fasum,Negatif
desapedalaman,Negatif
manfaat,Negatif
dana,Negatif
nambahin,Negatif
gaji,Negatif
guru,Negatif
miris,Negatif
aneh,Negatif
jujur,Negatif
negara,Negatif
maju,Negatif
negara,Negatif
kembang,Negatif
gagal,Negatif
kota,Negatif
kota,Negatif
contoh,Negatif
cina,Negatif
negara,Negatif
filipina,Negatif
timbang,Negatif
kota,Negatif
gjdikan,Negatif
daerah,Negatif
potensial,Negatif
sub,Negatif
kota,Negatif
tonton,Netral
jelasin,Netral
krusial,Netral
ikn,Netral
especially,Netral
sisi,Netral
gelap,Netral
masyarakat,Netral
aware,Netral
fakta,Netral
data,Netral
bukti,Netral
akurat,Netral
mihak,Netral
sisi,Netral
mana,Netral
perata,Negatif
mewah,Negatif
budget,Negatif
segitu,Negatif
perata,Negatif
daerah,Negatif
jalan,Negatif
tanah,Negatif
blok,Negatif
listrik,Negatif
mati,Negatif
buka,Negatif
faskes,Negatif
akses,Negatif
jalan,Negatif
pelosok,Negatif
gusur,Negatif
rakyat,Negatif
bikin,Negatif
daerah,Negatif
mewah,Negatif
megah,Negatif
jabat,Negatif
prioritas,Netral
ikn,Netral
urgensi,Netral
desak,Netral
indonesia,Netral
urgensi,Netral
perhati,Netral
perintah,Netral
dispill,Netral
rumah,Netral
menteri,Netral
milyar,Netral
sejahtera,Netral
fasum,Netral
rakyat,Netral
zalim,Negatif
perintah,Negatif
bangun,Negatif
ikn,Negatif
tanda,Negatif
perata,Negatif
bangun,Negatif
zalim,Negatif
anjing,Negatif
gue,Negatif
muak,Negatif
banget,Negatif
gue,Negatif
mas,Negatif
tinggal,Negatif
pulau,Negatif
jawa,Negatif
rasa,Negatif
perata,Negatif
bangun,Negatif
dar,Negatif
angkot,Negatif
anjing,Negatif
daerah,Negatif
gue,Negatif
bener,Negatif
bener,Negatif
gd,Negatif
fasilitas,Negatif
yallah,Negatif
kota,Negatif
negara,Negatif
pindah,Negatif
daerah,Negatif
sepenuh,Negatif
kembang,Negatif
jakarta,Negatif
akses,Negatif
didik,Negatif
sehat,Negatif
perintah,Negatif
bicara,Negatif
perata,Negatif
hindar,Negatif
demo,Negatif
masyarakat,Negatif
kritis,Negatif
ibukota,Negatif
manfaat,Negatif
ngaruh,Negatif
orang,Negatif
kaltim,Negatif
sbagai,Negatif
mahasiswa,Negatif
orang,Negatif
kaltim,Negatif
sedih,Negatif
banget,Negatif
ngeliat,Negatif
hutan,Negatif
ijo,Negatif
skarang,Negatif
digundulin,Negatif
bangun,Negatif
proyek,Negatif
pjabat,Negatif
udhnya,Negatif
hutan,Negatif
abis,Negatif
tambang,Negatif
illegal,Negatif
tambah,Negatif
orang,Negatif
bangun,Negatif
inainu,Negatif
orang,Netral
awam,Netral
ikn,Netral
dasar,Netral
ikn,Netral
rumah,Netral
kota,Netral
dasar,Netral
kota,Netral
struktur,Netral
sosial,Netral
cipta,Netral
adab,Netral
kota,Netral
ikn,Netral
gusur,Netral
struktur,Netral
sosial,Netral
perata,Netral
siap,Netral
ngelakuin,Netral
perata,Netral
perata,Netral
bagus,Netral
duluin,Netral
kasih,Netral
jabat,Netral
rumah,Netral
gratis,Netral
sekolah,Netral
faskes,Netral
kampung,Netral
kampung,Netral
jujur,Netral
aneh,Netral
banget,Netral
daerah,Positif
deserve,Positif
baik,Positif
didik,Positif
sehat,Positif
jalan,Positif
jaring,Positif
internet,Positif
pustaka,Positif
sekolah,Positif
univ,Positif
kota,Positif
dsb,Positif
butuh,Positif
bukubuku,Positif
duduk,Positif
deserve,Positif
dapet,Positif
baik,Positif
layak,Positif
hidup,Positif
ngapain,Positif
buang,Positif
uang,Positif
bikin,Positif
istana,Positif
urgensi,Negatif
anggar,Negatif
segitu,Negatif
gede,Negatif
better,Negatif
dipake,Negatif
bwt,Negatif
nyelesaiin,Negatif
problem,Negatif
setuju,Negatif
banget,Negatif
perata,Negatif
biar,Negatif
java,Negatif
sentris,Negatif
pulau,Negatif
jawa,Negatif
penuh,Negatif
banget,Negatif
mubazir,Negatif
uang,Negatif
triliun,Negatif
cuman,Negatif
ikn,Negatif
duduk,Negatif
sana,Negatif
petinggi,Negatif
mending,Negatif
uang,Negatif
triliun,Negatif
perata,Negatif
turut,Negatif
ikn,Negatif
banget,Negatif
perata,Negatif
duduk,Negatif
kurang,Negatif
duduk,Negatif
dki,Negatif
ya,Negatif
ibukota,Negatif
solusi,Negatif
perata,Negatif
fasilitas,Negatif
bangun,Negatif
jawa,Negatif
sentris,Negatif
ikn,Negatif
mubazir,Negatif
aneh,Negatif
banget,Negatif
saat,Negatif
negara,Negatif
banget,Negatif
bilang,Negatif
ikn,Negatif
bagus,Negatif
perata,Negatif
ajak,Negatif
orang,Negatif
khusus,Negatif
wna,Negatif
pns,Negatif
warlok,Negatif
usir,Negatif
kompensasi,Negatif
nambah,Negatif
sengketa,Negatif
lahan,Negatif
tradisional,Negatif
buruh,Negatif
cina,Negatif
gaji,Negatif
rumah,Negatif
jabat,Negatif
sana,Negatif
nila,Negatif
puluh,Negatif
miliar,Negatif
nambahin,Negatif
hutang,Negatif
niat,Negatif
biar,Negatif
jakarta,Negatif
mutasi,Negatif
ikn,Negatif
feeling,Negatif
gue,Negatif
jakarta,Negatif
pilih,Negatif
rantau,Negatif
biaya,Negatif
hidup,Negatif
ikn,Negatif
mahal,Negatif
tiket,Negatif
pesawat,Negatif
ikn,Negatif
mahal,Negatif
banget,Negatif
ujung,Negatif
ikn,Negatif
bangun,Negatif
ratus,Negatif
untuk,Negatif
segilintiran,Negatif
rakyat,Negatif
tunggu,Negatif
pajak,Negatif
turut,Negatif
ikn,Negatif
prioritas,Negatif
henti,Negatif
uang,Negatif
ikn,Negatif
tahap,Negatif
bangun,Negatif
langsung,Negatif
dilangsungin,Negatif
akal,Negatif
akal,Negatif
lurah,Negatif
biar,Negatif
nama,Negatif
diinget,Negatif
puja,Negatif
per,Negatif
bansos,Negatif
baca,Negatif
jepang,Negatif
pikir,Negatif
pindah,Negatif
ibukotanya,Negatif
alas,Negatif
salah,Negatif
lumayan,Negatif
logis,Negatif
dampak,Negatif
bom,Negatif
nuklir,Negatif
lampau,Negatif
batal,Negatif
pikir,Negatif
mahal,Negatif
bangun,Negatif
ibukota,Negatif
kota,Negatif
kokoh,Negatif
tahan,Negatif
gempa,Negatif
maksain,Positif
kaum,Positif
tengah,Positif
lagak,Positif
crazy,Positif
rich,Positif
paham,Positif
mampu,Positif
kota,Positif
mati,Positif
rumah,Positif
menteri,Positif
rencana,Positif
patung,Positif
bahas,Positif
nangisin,Positif
makan,Positif
deket,Positif
kantor,Positif
perintah,Positif
prioritas,Positif
sebnernya,Positif
setuju,Positif
perata,Positif
bangun,Positif
jawa,Positif
bagus,Positif
cuman,Positif
bikin,Positif
kota,Positif
pake,Positif
kota,Positif
kalimantan,Positif
habis,Positif
anggar,Positif
kota,Positif
gitu,Positif
rusak,Positif
alam,Positif
sana,Positif
